mouse_id,sex,pgm,liver_wt,gallstone_presence,gallstone_score,gallstone_count,gallstone_weight,gallstone_sandy,gallstone_solid,ChMC_agg,ChMC_ind,chol,HDL_log,nonHDL,D1Mit3,D1Mit21,D1Mit440,D1Mit102,D1Mit111,D1Mit17,D2Mit312,D2Mit79,D2Mit296,D2Mit7,D2Mit182,D2Mit94,D2Mit340,D2Mit285,D2Mit49,D2Mit113,D3Mit203,D3Mit51,D3Mit57,D3Mit147,D4Mit18,D4Mit110,D4Mit17,D4Mit155,D4Mit308,D4Mit251,D4Mit42,D5Mit387,D5Mit201,D5Mit95,D5Mit143,D6Mit86,D6Mit46,D6Mit123,D6Mit102,D6Mit36,D6Mit62,D6Mit111,D6Mit14,D6Mit373,D7Mit267,D7Mit345,D7Mit83,D7Mit323,D7Mit259,D8Mit155,D8Mit292,D8Mit40,D8Mit88,D9Mit58,D9Mit90,D9Mit129,D9Mit307,D9Mit24,D9Mit52,D10Mit123,D10Mit16,D10Mit184,D10Mit31,D10Mit264,D10Mit96,D10Mit14,D11Mit74,D11Mit189,D11Mit4,D11Mit178,D11Mit212,D11Mit67,D11Mit214,D12Mit182,D12Mit60,D12Mit227,D12Mit7,D13Mit302,D13Mit16,D13Mit19,D13Mit13,D13Mit128,D13Mit171,D14Mit98,D14Mit5,D14Mit7,D14Mit131,D15Mit13,D15Mit115,D15Mit71,D15Mit79,D16Mit32,D16Mit101,D16Mit125,D16Mit139,D16Mit86,D17Mit19,D17Mit51,D17Mit39,D17Mit123,D18Mit64,D18Mit12,D18Mit208,D18Mit48,D19Mit68,D19Mit30,D19Mit88,D19Mit26,DXMit81,DXMit1,DXMit8,DXMit149,DXMit121
46,1,1,2.1617,0,0,0,0,0,0,0,0,351,2.36,122,C,C,C,H,H,D,H,H,H,H,D,D,H,H,H,H,D,H,C,C,C,C,C,C,C,C,C,H,H,D,D,H,H,H,D,D,D,D,D,D,D,H,H,H,H,D,H,D,D,C,C,C,H,H,H,C,C,-,H,D,D,D,H,H,H,H,H,D,D,H,H,H,H,H,H,H,H,H,D,H,H,H,H,D,D,D,D,H,H,H,D,D,C,C,C,H,H,D,D,D,D,D,D,D,D,D,D,D,D
47,1,1,2.2953,0,1,0,0,0,0,2,1,328,1.857,256,C,H,H,H,C,C,H,H,C,C,C,H,D,D,D,D,H,D,D,D,D,D,D,H,C,C,C,H,H,D,H,H,H,C,C,C,C,C,H,H,H,H,H,H,H,C,C,C,C,C,C,H,H,H,H,H,H,H,H,H,H,H,C,C,C,C,C,C,C,D,D,D,D,D,H,D,H,H,H,C,C,H,H,C,C,C,C,D,D,D,D,D,C,C,C,H,H,D,D,D,H,H,H,H,D,D,D,D,C
48,1,1,1.4751,1,2,0,0,4,0,4,1,185,1.919,102,H,C,C,H,D,D,C,D,D,D,D,D,H,H,H,H,H,D,D,C,C,H,H,H,D,D,D,H,C,H,H,C,H,H,H,H,H,H,H,H,C,C,C,H,H,D,D,H,H,D,D,D,D,D,D,H,H,-,H,H,H,H,H,H,H,H,H,H,C,C,C,C,C,H,H,H,D,H,H,H,H,H,D,D,D,H,H,H,H,H,H,D,D,H,H,C,-,H,C,C,C,C,C,C,D,C,C,C,C
49,1,1,1.2758,1,2,0,0,3,0,4,1,194,1.949,105,D,H,H,D,D,D,H,H,C,C,C,C,H,H,H,H,H,H,H,H,H,H,H,D,D,D,H,-,H,H,H,D,D,H,H,H,H,H,H,H,C,C,C,H,H,C,C,H,H,D,D,D,D,H,-,H,H,H,H,H,H,H,-,H,D,D,D,D,D,C,C,C,D,H,C,C,C,C,-,H,H,-,C,C,H,H,H,D,H,H,H,H,H,H,C,-,D,C,C,C,H,H,H,H,D,D,D,D,C
50,1,1,1.2473,1,2,0,0,2,0,4,1,231,1.813,166,D,D,H,C,C,C,H,H,H,H,H,H,C,C,C,H,H,D,D,H,D,D,D,D,D,D,D,D,D,D,D,D,D,D,H,H,H,H,H,H,D,H,H,C,C,C,C,C,D,C,C,H,H,H,C,D,H,H,H,H,H,H,H,H,H,C,C,C,H,C,H,H,H,H,H,H,C,C,H,H,H,H,H,D,H,H,H,C,C,C,C,C,C,C,C,C,H,D,D,H,C,H,H,C,D,C,D,D,D
51,1,1,1.5877,1,2,5,0.53,4,4,0,1,240,1.954,150,C,C,H,D,H,-,H,H,H,H,H,H,H,H,H,D,H,H,H,H,H,H,H,C,C,C,C,H,H,C,C,H,D,D,H,H,H,H,H,H,C,H,H,H,H,H,H,D,D,H,H,H,H,H,H,H,H,H,H,-,H,H,D,D,C,H,H,H,H,C,-,C,H,H,H,H,C,C,C,H,H,H,H,H,C,C,C,C,C,C,C,C,H,H,D,D,D,H,H,H,H,H,H,H,D,D,D,C,C
52,1,1,1.2433,0,1,0,0,0,0,1,3,307,1.806,243,C,C,C,C,H,H,C,C,C,H,H,H,H,H,H,C,D,D,H,H,D,-,H,H,H,H,H,C,H,H,H,H,D,D,D,D,H,H,H,C,H,H,H,H,C,H,H,H,H,H,H,H,H,H,-,D,D,D,D,D,D,D,C,H,C,C,H,H,H,H,D,D,D,D,D,D,D,D,H,C,C,-,C,C,C,H,H,D,D,D,D,D,C,C,C,H,-,C,C,H,C,H,H,H,C,C,C,C,C
53,1,1,1.2031,1,2,0,0,2,0,1,2,263,1.778,204,C,D,D,D,D,D,C,C,C,C,C,C,H,H,H,H,C,C,C,H,H,H,H,H,H,D,D,H,H,C,H,H,C,C,C,H,H,H,H,D,H,H,H,H,C,H,H,H,H,H,H,H,H,H,-,C,C,H,H,H,H,H,H,H,C,C,C,-,C,H,D,D,H,C,H,C,H,H,H,D,H,-,C,C,H,H,H,H,H,H,H,H,H,D,D,D,-,H,H,H,H,H,H,H,C,C,C,C,C
54,1,1,1.6884,1,0,0,0,0,0,0,0,288,1.982,192,D,D,D,D,D,D,H,H,H,H,H,H,H,H,H,H,D,D,H,H,H,H,H,H,H,H,H,C,C,C,C,C,C,C,C,H,-,H,D,D,D,D,D,H,H,H,H,D,D,D,D,H,C,C,C,C,C,C,C,C,C,C,C,H,D,-,D,D,D,H,H,H,H,D,H,H,H,C,C,H,H,D,D,H,H,H,H,C,C,C,C,C,H,H,C,C,H,H,C,C,H,H,H,H,D,D,D,D,D
55,1,1,1.5171,1,2,10,1.76,4,4,1,0,226,2.201,67,C,D,D,D,D,D,D,D,D,D,D,D,D,-,H,H,H,H,H,H,C,-,C,C,C,H,H,C,C,C,C,D,D,H,C,C,-,C,C,C,D,H,H,H,C,C,C,H,H,D,D,D,D,D,D,D,D,D,D,D,D,D,H,H,H,H,H,H,D,H,D,D,H,C,C,C,H,H,H,D,D,D,D,D,D,D,D,D,D,H,H,H,C,C,C,D,H,H,H,C,D,H,H,H,D,D,D,D,D
56,1,1,2.3236,1,2,1,0.13,3,2,4,1,382,1.964,290,C,H,D,H,H,D,H,H,H,H,D,D,D,H,H,C,D,D,D,D,H,H,H,H,H,H,C,C,C,C,H,C,C,C,H,H,H,D,D,D,H,H,H,H,H,H,C,C,H,D,D,D,D,H,H,H,H,H,D,D,D,D,H,D,D,D,D,D,D,D,D,H,H,D,D,D,D,H,H,H,H,H,C,C,H,H,H,C,H,H,H,H,D,D,H,H,D,H,D,D,C,C,C,C,D,C,C,C,C
57,1,1,1.6354,0,0,0,0,0,0,0,0,494,1.74,439,C,C,C,H,H,D,C,C,C,C,C,C,H,H,H,D,H,H,H,C,C,C,C,H,H,H,D,H,C,C,C,-,C,C,C,C,H,H,H,H,H,H,H,D,D,C,H,H,H,D,H,H,H,C,C,H,H,H,H,H,H,H,D,D,H,H,-,H,H,C,C,C,C,C,H,C,H,H,D,H,H,H,D,D,D,D,H,C,C,C,C,C,H,H,H,-,H,D,D,D,H,H,D,D,C,C,C,D,D
58,1,1,1.8334,1,2,1,0.23,2,2,4,0,325,2,225,D,D,D,D,H,H,C,H,H,H,H,H,H,H,H,D,H,C,C,H,H,H,H,H,H,-,C,H,C,H,D,H,H,H,H,H,H,H,D,D,D,H,-,H,H,D,H,D,D,H,H,C,C,C,C,H,H,H,H,H,H,D,D,D,H,H,H,H,H,H,H,H,H,D,D,D,D,D,D,D,H,H,C,D,D,H,H,C,C,C,C,C,H,H,C,C,H,H,H,H,C,C,C,-,C,C,C,C,C
59,1,1,1.3431,1,2,0,0,2,0,3,3,235,1.447,207,H,H,H,D,D,D,H,H,H,H,H,H,H,H,H,H,C,C,C,H,D,D,D,H,H,H,D,C,C,H,D,H,C,C,C,C,C,C,C,C,D,H,H,H,C,H,D,H,H,C,H,H,C,C,C,-,D,H,H,H,H,H,H,H,D,D,D,D,H,H,D,C,H,H,H,H,H,H,H,H,H,C,C,D,D,D,D,H,H,H,H,H,D,D,H,H,H,H,H,H,C,H,H,H,D,D,D,D,D
60,1,1,1.1509,1,2,0,0,4,0,4,0,137,1.881,61,H,C,C,H,H,H,C,C,C,C,C,H,H,H,D,D,C,C,C,H,H,D,D,D,D,D,D,D,D,D,D,H,H,H,D,D,D,H,H,H,C,C,C,C,H,D,D,H,H,H,H,H,H,H,H,H,H,H,H,H,H,C,D,C,C,C,C,C,C,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,D,D,H,D,D,D,D,D,C,C,C,D,-,H,H,H,H,H,H,D,D,C,C,C,D
61,1,1,2.5308,1,2,0,0,4,0,1,3,200,1.785,139,H,H,H,H,H,H,D,D,D,D,D,D,H,H,H,H,H,C,C,C,D,D,D,D,H,H,H,H,H,C,C,C,D,D,D,D,D,H,H,H,H,H,H,-,H,C,C,H,H,C,C,C,C,H,H,-,C,C,C,C,C,C,H,H,H,C,C,C,C,C,H,H,H,H,D,D,D,D,D,H,H,D,D,H,D,H,-,H,H,H,C,H,C,C,H,H,D,H,H,H,H,H,H,H,C,C,C,C,C
62,1,1,1.4839,1,2,0,0,4,0,4,1,139,1.813,74,C,C,C,C,H,D,D,H,H,H,H,H,H,H,H,H,C,D,D,D,H,H,H,H,H,H,H,H,H,C,C,H,-,H,H,C,-,C,C,C,H,H,H,C,C,H,D,D,D,D,D,D,D,D,D,C,H,H,H,H,H,D,-,H,D,D,D,D,D,H,-,H,H,D,D,D,H,H,C,H,C,H,H,D,H,H,-,H,H,H,H,H,C,C,H,D,H,H,C,C,H,D,D,H,C,C,C,C,C
63,1,1,1.5953,1,2,2,-,4,1,4,1,328,1.968,235,H,C,C,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,D,-,H,H,H,H,H,D,H,C,C,D,D,H,C,C,H,H,H,H,H,D,D,H,H,H,H,C,H,H,H,H,D,D,D,H,H,H,H,H,H,H,H,H,C,C,C,C,D,H,H,H,D,D,H,D,H,H,H,H,H,-,C,H,H,H,C,C,C,H,H,D,C,C,H,H,H,H,H,H,D,H,H,H,C,C,C,C,D
64,1,1,0.9225,1,2,0,0,2,0,3,1,158,1.69,109,D,D,D,D,D,D,H,C,C,C,C,C,C,-,C,C,H,H,H,H,H,-,H,H,H,H,H,H,H,C,C,D,D,D,D,C,C,C,C,C,C,H,H,H,C,H,-,H,H,H,H,H,D,D,D,H,H,H,C,C,C,C,H,C,C,C,C,-,C,D,-,H,H,H,H,H,H,H,H,C,C,C,C,C,H,H,H,D,D,D,H,H,D,D,D,D,D,D,H,H,D,D,D,D,D,D,D,D,D
65,1,1,1.1068,0,0,0,0,0,0,0,0,266,1.892,188,H,C,C,H,H,H,C,C,C,C,C,C,H,H,H,H,D,D,H,H,H,C,C,C,C,C,C,C,C,C,C,H,H,H,H,C,C,C,C,C,C,C,H,H,H,H,-,H,H,H,C,C,C,C,-,H,H,H,H,H,H,H,D,D,D,D,D,D,D,H,D,D,D,H,H,H,H,C,C,C,H,-,H,H,-,D,D,C,C,C,C,C,H,H,H,C,H,C,C,H,H,H,H,H,D,D,D,D,C
66,1,1,1.1083,1,2,5,0.82,1,4,0,1,284,2.017,180,C,H,H,H,H,H,H,C,C,C,C,C,C,C,C,C,D,H,H,C,H,H,H,H,H,H,D,H,D,D,D,D,H,H,H,H,D,D,D,D,H,H,H,H,H,H,D,D,D,D,H,H,H,H,H,-,H,H,H,H,H,H,D,D,D,D,H,H,H,H,D,D,H,H,C,C,C,C,C,D,D,H,H,H,H,H,D,D,D,D,D,D,H,D,D,H,C,H,H,D,D,D,D,D,C,C,C,C,D
67,1,1,1.4191,1,2,7,1.18,1,4,0,0,361,2.207,200,H,D,D,D,D,H,D,H,H,H,H,H,H,H,H,H,H,H,H,H,C,C,C,C,C,C,C,H,H,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,C,D,D,H,C,C,C,C,H,H,H,H,H,H,H,H,H,D,H,D,D,D,D,H,H,D,H,C,C,C,H,C,H,D,D,D,D,H,C,H,H,D,D,H,H,C,C,C,H,H,C,C,H,H,H,H,H,H,H,H,C,C,C,C,C
68,1,1,1.8088,0,0,0,0,0,0,0,0,209,1.756,152,H,H,H,C,C,H,D,H,H,H,C,C,C,C,C,C,C,H,D,D,C,C,C,H,H,H,H,H,D,D,D,C,C,C,C,C,C,H,D,D,C,C,C,C,H,C,C,C,C,H,H,H,D,H,H,C,C,H,H,H,H,H,D,D,H,H,H,H,H,D,H,C,H,H,D,D,D,D,D,C,C,C,C,H,H,H,H,C,C,C,C,C,D,H,H,D,C,C,C,H,H,C,C,C,D,D,D,D,C
69,1,1,1.4826,1,2,1,0.07,1,1,2,1,409,1.908,329,H,H,H,H,H,H,H,H,H,-,C,C,C,C,C,C,H,H,H,H,D,D,D,H,H,H,D,H,C,C,C,H,H,H,H,H,H,D,D,D,C,C,C,C,H,C,H,H,D,C,C,C,C,C,C,D,H,H,H,C,C,C,-,H,D,D,D,D,D,H,H,D,H,C,C,C,-,C,D,D,-,H,H,C,H,C,C,D,D,D,D,D,H,H,H,-,H,H,D,D,D,H,H,H,D,D,D,D,C
70,1,1,1.6418,1,2,28,1.88,0,4,0,0,361,1.944,274,D,H,H,H,C,D,H,H,H,H,H,H,H,H,H,H,H,H,H,H,D,D,H,C,C,C,C,D,D,D,D,C,H,H,H,H,H,H,H,H,C,C,C,D,D,D,H,D,D,H,C,C,C,H,H,H,H,C,C,C,C,C,D,D,D,D,D,-,C,H,D,H,H,H,D,H,H,H,H,H,C,C,C,D,C,C,C,H,H,H,H,H,H,H,C,H,H,C,C,H,C,H,H,H,C,C,C,C,C
71,1,1,2.8789,1,2,0,0,2,0,4,2,226,1.996,127,C,H,H,H,D,D,H,H,H,H,D,D,H,H,H,C,H,H,C,C,H,H,H,H,H,H,D,H,D,H,C,C,C,C,H,H,H,H,H,H,H,H,H,-,H,C,C,C,C,H,H,H,H,H,H,H,H,D,D,D,D,H,C,C,H,H,H,D,D,H,C,C,H,D,D,D,D,H,H,H,H,-,C,D,D,D,D,C,C,H,H,H,H,H,C,C,H,H,H,D,C,C,C,H,D,D,D,D,D
72,1,1,2.2248,0,0,0,0,0,0,0,0,299,1.519,266,H,D,D,D,D,H,C,C,C,C,H,H,H,H,H,C,H,H,H,H,D,D,-,H,C,C,C,D,H,H,C,C,C,C,C,C,C,C,C,C,C,C,C,H,D,C,C,C,D,C,C,C,C,C,H,H,H,H,D,D,D,H,D,D,C,C,C,C,C,H,D,H,D,D,D,D,D,H,H,C,D,D,H,D,D,D,D,H,H,H,H,D,C,C,C,C,C,H,-,H,H,D,D,D,C,D,D,D,D
73,1,1,1.9108,1,2,0,0,4,0,0,0,508,1.845,438,D,H,H,H,D,D,D,D,D,D,H,H,H,D,H,H,H,D,D,D,D,D,D,H,H,H,H,D,H,C,H,C,H,H,H,H,H,H,H,H,C,C,C,H,D,D,D,H,H,C,D,H,H,H,C,D,H,H,C,C,C,C,-,H,H,H,H,H,H,C,H,H,H,H,H,H,H,H,D,D,H,C,C,H,H,H,H,C,C,H,H,H,H,D,D,H,D,D,D,D,H,H,H,H,D,D,D,D,D
74,1,1,1.9646,0,1,0,0,0,0,2,0,305,1.799,242,C,C,C,C,C,C,D,D,D,D,D,D,D,D,D,D,H,H,C,C,H,D,D,D,D,D,H,H,H,-,C,H,H,C,H,H,H,-,H,D,H,H,H,H,C,C,D,H,H,H,H,H,H,H,D,D,D,H,H,H,H,D,-,H,H,H,H,H,C,D,D,H,H,C,H,C,H,H,H,C,C,H,D,H,C,C,H,C,C,C,C,C,H,H,H,H,H,C,C,H,C,C,H,H,C,C,C,C,C
75,1,1,1.988,-,-,-,-,-,-,-,-,380,2.34,161,H,H,H,H,H,C,C,H,H,H,H,D,D,D,H,H,C,C,C,D,C,-,C,C,C,C,H,C,C,C,C,H,H,H,H,H,H,H,H,H,D,H,H,H,H,H,H,H,H,C,C,C,H,H,H,H,H,H,D,D,D,H,C,C,C,C,C,C,H,C,C,C,C,D,H,D,C,C,C,C,H,H,H,H,H,H,H,H,H,D,H,H,H,H,D,D,H,H,H,H,H,H,H,H,D,D,D,D,D
76,1,1,1.7017,0,0,0,0,0,0,0,0,267,2.017,163,D,D,H,H,H,D,H,H,D,D,D,D,H,H,H,H,H,C,C,D,D,-,H,H,H,H,H,D,D,D,H,H,H,H,D,D,D,D,H,H,D,C,H,H,D,C,H,H,C,C,C,C,C,C,C,D,D,H,H,H,H,H,D,D,D,D,D,-,H,H,-,-,H,H,D,D,D,H,H,C,C,C,C,D,D,H,H,D,D,D,D,H,H,C,H,H,D,D,D,C,H,D,D,H,C,C,C,C,D
77,1,1,1.5897,1,2,0,0,1,0,2,0,261,2.248,84,H,C,C,C,C,H,C,H,H,H,H,H,H,H,H,H,H,D,D,D,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,D,D,D,D,D,H,D,D,D,C,H,H,H,D,D,H,H,H,H,H,H,D,H,C,C,C,C,C,H,H,C,H,H,H,H,H,H,H,-,H,H,-,-,C,C,C,H,D,D,H,H,H,H,H,D,D,H,H,H,D,C,C,C,C,D,D,D,D,D
78,1,1,2.2602,1,2,8,0.58,4,3,0,0,310,2.272,123,H,H,D,D,H,H,D,D,D,D,C,C,C,C,C,H,H,H,D,D,H,H,D,D,D,D,H,D,H,C,C,D,H,H,H,H,D,D,D,D,H,H,H,-,D,H,H,H,H,C,C,H,H,H,D,H,H,H,H,H,H,H,-,D,H,H,C,H,H,C,-,H,H,H,H,H,H,H,D,H,D,D,-,H,H,H,H,D,D,D,D,D,H,C,C,H,C,H,H,H,H,H,H,H,D,D,D,D,D
79,1,1,1.8619,0,1,0,0,0,0,4,0,285,1.724,233,H,D,D,D,D,H,D,H,H,H,H,D,D,H,H,C,D,D,D,D,D,D,D,H,H,H,H,D,D,D,D,H,H,H,H,H,H,H,C,C,H,D,D,-,C,D,D,D,H,D,D,D,H,D,D,H,H,H,C,H,H,H,-,H,D,D,C,D,H,H,-,-,-,H,D,H,D,D,H,H,H,C,C,H,H,H,H,H,H,H,H,D,D,D,H,H,H,H,H,H,H,H,H,H,C,C,D,D,C
80,1,1,1.6602,1,2,0,0,1,0,3,1,195,1.991,97,C,C,C,H,C,D,C,C,C,C,H,H,H,H,H,C,H,D,D,D,D,H,H,H,H,C,C,H,H,C,H,H,H,H,H,H,H,H,H,H,H,H,H,-,H,C,C,H,H,D,D,D,D,D,H,D,D,D,D,H,H,H,H,H,H,H,H,H,H,H,-,H,H,H,H,H,H,H,D,H,H,H,H,C,H,H,D,H,H,D,D,D,C,C,C,H,-,D,H,H,H,H,H,H,D,C,C,C,C
81,1,1,1.6359,1,2,8,0.96,0,4,0,0,278,2.037,170,H,H,C,H,C,-,H,H,H,H,H,H,H,H,H,H,C,C,C,C,C,C,C,H,C,C,C,D,D,H,C,D,D,D,H,H,H,H,H,H,H,C,C,C,C,H,-,D,D,H,H,H,H,H,C,H,H,C,C,C,H,H,H,H,H,H,H,H,H,C,C,C,H,H,H,H,-,H,C,D,H,H,C,C,C,H,H,C,C,C,C,C,D,D,D,D,C,C,C,C,D,D,D,D,C,D,D,D,D
82,1,1,1.9964,1,2,0,0,3,0,4,0,205,2.093,81,H,H,H,H,H,C,H,D,D,D,H,H,H,H,H,H,C,C,H,H,H,C,C,H,H,H,H,H,C,C,C,D,D,H,H,H,H,H,H,H,D,D,D,D,H,D,H,D,H,H,H,H,H,H,H,H,H,H,H,H,H,H,C,H,H,H,H,H,D,H,H,C,C,H,H,H,-,C,C,D,D,H,H,H,C,C,H,D,H,H,H,H,D,-,D,D,H,H,H,H,H,H,C,C,C,D,D,D,D
83,1,1,1.7066,0,0,0,0,0,0,0,0,340,2.255,160,H,H,H,D,H,D,D,D,D,D,D,D,H,H,H,H,D,D,D,C,C,C,C,C,C,H,C,C,C,C,H,H,H,H,H,H,H,H,D,D,C,C,C,C,C,D,D,H,H,C,C,C,C,C,C,D,H,H,H,H,H,H,D,H,H,H,H,H,H,C,C,C,C,H,D,H,D,H,H,D,D,D,C,H,H,H,H,C,H,H,H,H,C,H,H,C,H,H,H,D,H,D,D,D,C,C,C,C,C
84,1,1,1.7996,0,0,0,0,0,0,0,0,223,1.833,155,H,H,H,H,H,H,H,H,D,D,D,D,D,D,H,H,D,D,D,D,D,D,H,H,H,H,H,H,H,C,C,H,H,H,D,H,H,H,H,H,C,C,C,-,H,H,H,H,H,H,H,H,H,H,-,H,H,H,H,H,H,H,D,D,D,D,D,D,H,D,D,D,D,H,H,H,H,H,H,C,C,-,D,H,H,H,H,C,H,H,H,D,H,C,H,H,D,D,H,H,C,C,C,C,C,C,C,C,C
85,1,1,1.5148,0,0,0,0,0,0,0,0,311,2.093,187,D,H,H,H,D,D,H,H,C,C,C,C,H,H,H,H,D,H,C,C,D,H,H,C,C,C,C,D,H,H,H,D,D,D,D,D,D,D,D,D,C,C,C,H,D,H,-,D,D,C,C,C,C,C,C,D,D,D,D,D,D,D,C,C,D,D,D,D,D,C,H,H,H,H,H,H,H,H,C,C,H,D,C,H,D,H,H,H,H,H,H,D,D,D,D,H,D,D,D,D,H,H,H,H,C,D,D,D,D
86,1,1,1.6972,1,2,7,0.62,2,3,0,0,306,1.845,236,H,D,D,D,D,H,H,C,C,C,C,H,D,D,D,D,D,D,D,C,H,H,H,H,H,H,H,H,H,H,H,D,H,H,H,H,H,D,D,H,H,H,C,C,C,C,D,D,D,H,H,H,H,H,H,D,H,H,C,C,C,C,H,H,H,D,D,D,D,D,-,H,H,H,D,H,D,D,D,H,C,C,H,H,H,H,H,H,H,H,H,H,H,H,H,C,H,H,H,H,H,H,H,H,C,C,C,C,C
87,1,1,1.5332,1,2,0,0,2,0,3,1,206,1.914,124,H,C,C,C,C,H,D,D,D,D,D,H,H,H,H,H,H,H,C,C,D,-,C,C,C,H,H,H,H,C,H,C,H,H,D,D,D,D,H,H,D,D,D,C,C,H,H,D,D,H,H,H,H,H,C,H,H,H,H,H,H,H,D,D,D,D,D,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,H,D,C,C,C,H,C,C,C,H,H,H,H,H,D,D,D,H,C,C,C,C,D,D,D,D,D
88,1,1,1.2466,1,2,2,0.47,2,3,1,3,316,2.212,153,H,H,H,H,D,D,C,C,-,C,H,H,H,-,C,C,H,H,H,H,C,-,C,C,C,C,C,D,H,C,H,H,D,D,D,D,D,D,D,D,H,H,H,D,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,-,C,C,H,-,H,H,-,C,C,D,D,D,D,D,D,H,H,H,C,H,H,H,H,H,H,H,C,H,D,H,H,H,H,H,H,H,C,C,C,C,C,C,C,C,D
89,1,1,1.2432,1,2,0,0,2,0,2,0,183,1.708,132,H,D,D,H,H,H,H,H,H,H,H,H,H,D,H,H,H,H,D,D,D,D,D,H,H,H,H,C,C,C,C,D,D,D,H,C,C,C,C,C,C,C,C,-,H,H,-,C,C,H,H,H,H,H,H,D,D,D,D,H,C,C,H,H,H,H,H,H,H,D,-,H,H,C,H,H,H,H,H,H,H,D,C,H,H,C,C,H,H,H,H,C,C,H,H,H,D,D,H,C,C,H,H,H,D,D,D,C,C
90,1,1,1.3195,1,2,0,0,4,0,4,0,357,1.826,291,C,C,C,C,C,C,H,H,-,H,H,H,C,C,H,H,H,H,D,D,H,H,H,D,D,D,D,D,D,H,H,D,D,H,H,H,H,H,H,H,C,C,H,-,D,C,C,C,C,C,C,C,H,H,D,H,H,H,H,H,H,H,-,C,C,C,C,H,H,C,-,H,H,H,H,H,H,C,C,H,D,H,D,H,H,D,D,H,H,H,H,H,C,-,C,C,C,C,C,C,H,H,H,H,C,D,D,D,D
91,1,1,1.5506,1,2,0,0,4,0,4,0,223,1.643,179,H,D,D,D,D,D,D,D,D,D,H,H,C,C,C,C,H,H,H,H,H,H,H,D,D,D,D,H,H,H,H,C,C,C,C,C,C,H,H,H,C,C,C,-,H,D,H,H,H,H,H,D,D,D,D,D,D,D,D,H,H,H,-,H,C,H,-,H,H,H,H,D,D,D,H,D,H,C,H,C,C,C,C,H,H,C,C,H,C,C,C,C,H,H,H,C,C,C,C,C,H,H,H,H,D,D,D,D,D
92,1,1,1.3696,1,2,1,0.11,2,1,3,1,335,2.037,227,C,H,H,D,D,D,C,C,C,C,C,C,H,H,H,H,H,C,C,C,H,H,H,H,H,H,D,C,C,H,H,H,H,H,H,H,H,D,D,D,H,H,H,-,H,H,D,C,C,C,C,H,D,D,D,H,H,H,H,C,C,C,H,H,H,H,-,H,D,D,H,C,C,H,H,H,C,H,H,H,D,-,H,D,H,H,D,C,C,C,C,C,H,H,H,H,H,C,C,C,C,C,C,H,D,C,C,C,D
93,1,1,1.1859,1,2,0,0,4,0,3,0,263,1.959,172,H,H,H,H,H,H,H,H,H,H,H,C,C,C,C,H,D,D,D,D,H,H,H,H,H,H,H,H,H,C,C,C,C,H,H,H,H,H,H,H,H,H,H,D,D,H,H,H,C,H,H,H,H,H,H,C,C,C,C,C,C,H,C,C,C,C,C,C,C,H,D,D,D,H,H,H,H,H,H,C,C,C,C,H,H,H,H,H,H,H,H,C,H,C,C,C,H,H,H,H,H,D,H,H,C,C,C,C,C
94,1,1,1.5049,1,2,0,0,4,0,1,1,286,1.944,199,H,H,H,C,H,H,H,H,H,D,D,D,D,H,H,H,H,H,D,H,H,C,C,C,H,H,H,C,H,H,H,D,D,H,H,H,H,H,C,C,H,H,H,H,D,C,C,H,H,C,H,H,H,H,H,H,H,H,H,H,H,H,C,H,H,H,H,H,C,H,H,H,H,C,C,C,C,C,C,D,D,D,H,H,C,C,H,H,H,H,H,D,H,H,C,C,D,D,C,C,D,D,D,D,D,D,D,D,C
95,1,1,1.7897,0,1,0,0,0,0,2,4,357,2.009,256,C,C,C,H,H,D,H,H,H,H,H,H,C,C,C,C,H,H,H,H,H,H,H,H,H,C,C,H,H,H,H,D,H,H,H,H,H,H,H,H,H,H,H,C,H,H,H,H,C,H,H,H,H,H,H,C,C,C,H,H,H,H,H,D,H,H,H,H,H,H,C,C,H,D,D,D,D,D,H,D,D,D,D,C,C,H,H,H,H,H,H,C,H,H,H,H,C,C,H,H,C,C,C,C,D,D,D,D,D
96,1,1,1.401,1,2,15,2.13,3,4,3,0,204,1.908,124,H,H,C,C,C,H,H,D,D,D,D,D,H,H,H,H,H,H,D,D,H,H,H,H,C,C,C,C,C,H,H,H,H,H,H,H,H,H,H,H,D,D,D,H,H,C,D,D,D,H,D,D,H,H,C,C,C,C,C,C,C,-,D,D,H,H,H,H,H,H,H,H,H,H,H,H,-,D,D,C,C,D,D,D,-,H,H,D,D,D,D,D,H,H,-,C,H,H,C,C,H,H,H,H,D,C,C,C,C
